backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gda,4,16,2,1,0,52.65,144.09,138.37,148.61,ep4/channels16_repeat2.log
rc_gda,4,16,2,2,0,52.52,144.43,140.64,150.85,ep4/channels16_repeat2.log
rc_gda,4,16,2,3,0,52.5,144.49,138.62,152.8,ep4/channels16_repeat2.log
rc_gda,4,32,0,0,0,52.51,144.46,138.88,149.15,ep4/channels32_repeat0.log
rc_gda,4,32,0,1,0,52.37,144.84,139.17,149.41,ep4/channels32_repeat0.log
rc_gda,4,32,0,2,0,52.54,144.39,140.48,148.0,ep4/channels32_repeat0.log
rc_gda,4,32,0,3,0,52.54,144.37,140.67,148.9,ep4/channels32_repeat0.log
rc_gda,4,32,1,0,0,52.36,144.88,139.17,151.42,ep4/channels32_repeat1.log
rc_gda,4,32,1,1,0,52.33,144.95,139.14,149.38,ep4/channels32_repeat1.log
rc_gda,4,32,1,2,0,52.51,144.46,140.54,149.09,ep4/channels32_repeat1.log
rc_gda,4,32,1,3,0,52.52,144.43,138.66,150.98,ep4/channels32_repeat1.log
rc_gda,4,32,2,0,0,52.46,144.6,139.17,149.44,ep4/channels32_repeat2.log
rc_gda,4,32,2,1,0,52.62,144.16,138.69,148.93,ep4/channels32_repeat2.log
rc_gda,4,32,2,2,0,52.67,144.02,139.78,148.86,ep4/channels32_repeat2.log
rc_gda,4,32,2,3,0,52.79,143.69,138.08,148.61,ep4/channels32_repeat2.log
rc_gda,8,1,0,0,0,39.68,191.18,184.13,201.41,ep8/channels1_repeat0.log
rc_gda,8,1,0,1,0,39.54,191.85,180.13,204.7,ep8/channels1_repeat0.log
rc_gda,8,1,0,2,0,39.69,191.14,183.07,202.53,ep8/channels1_repeat0.log
rc_gda,8,1,0,3,0,39.69,191.12,177.31,203.58,ep8/channels1_repeat0.log
rc_gda,8,1,1,0,0,39.52,191.96,185.22,198.53,ep8/channels1_repeat1.log
rc_gda,8,1,1,1,0,39.61,191.5,179.84,202.34,ep8/channels1_repeat1.log
rc_gda,8,1,1,2,0,39.72,190.99,182.11,198.24,ep8/channels1_repeat1.log
rc_gda,8,1,1,3,0,39.64,191.39,177.76,204.35,ep8/channels1_repeat1.log
rc_gda,8,1,2,0,0,39.81,190.53,183.39,201.86,ep8/channels1_repeat2.log
rc_gda,8,1,2,1,0,39.76,190.81,176.9,203.9,ep8/channels1_repeat2.log
rc_gda,8,1,2,2,0,39.73,190.92,181.66,204.0,ep8/channels1_repeat2.log
rc_gda,8,1,2,3,0,39.75,190.82,177.6,204.19,ep8/channels1_repeat2.log
rc_gda,8,2,0,0,0,51.3,147.88,140.26,158.46,ep8/channels2_repeat0.log
